C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\fromnumeric.py:3257: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\_methods.py:161: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Epoch 00177 | Time(s) 0.0546 | Loss 0.0215 | Accuracy 1.0000 | ETputs(KTEPS) 193.50
Epoch 00178 | Time(s) 0.0545 | Loss 0.0426 | Accuracy 1.0000 | ETputs(KTEPS) 193.66
Epoch 00179 | Time(s) 0.0544 | Loss 0.0303 | Accuracy 1.0000 | ETputs(KTEPS) 194.13
Epoch 00180 | Time(s) 0.0542 | Loss 0.0312 | Accuracy 1.0000 | ETputs(KTEPS) 194.59
Epoch 00181 | Time(s) 0.0542 | Loss 0.0193 | Accuracy 1.0000 | ETputs(KTEPS) 194.74
Epoch 00182 | Time(s) 0.0541 | Loss 0.0365 | Accuracy 1.0000 | ETputs(KTEPS) 195.20
Epoch 00183 | Time(s) 0.0540 | Loss 0.0155 | Accuracy 1.0000 | ETputs(KTEPS) 195.66
Epoch 00184 | Time(s) 0.0538 | Loss 0.0287 | Accuracy 1.0000 | ETputs(KTEPS) 196.11
Epoch 00185 | Time(s) 0.0537 | Loss 0.0561 | Accuracy 1.0000 | ETputs(KTEPS) 196.56
Epoch 00186 | Time(s) 0.0536 | Loss 0.0451 | Accuracy 1.0000 | ETputs(KTEPS) 196.86
Epoch 00187 | Time(s) 0.0536 | Loss 0.0192 | Accuracy 1.0000 | ETputs(KTEPS) 197.00
Epoch 00188 | Time(s) 0.0535 | Loss 0.0203 | Accuracy 1.0000 | ETputs(KTEPS) 197.44
Epoch 00189 | Time(s) 0.0533 | Loss 0.0107 | Accuracy 1.0000 | ETputs(KTEPS) 197.88
Epoch 00190 | Time(s) 0.0533 | Loss 0.0195 | Accuracy 1.0000 | ETputs(KTEPS) 197.96
Epoch 00191 | Time(s) 0.0532 | Loss 0.0149 | Accuracy 1.0000 | ETputs(KTEPS) 198.40
Epoch 00192 | Time(s) 0.0531 | Loss 0.0214 | Accuracy 1.0000 | ETputs(KTEPS) 198.83
Epoch 00193 | Time(s) 0.0531 | Loss 0.0240 | Accuracy 1.0000 | ETputs(KTEPS) 198.95
Epoch 00194 | Time(s) 0.0529 | Loss 0.0311 | Accuracy 1.0000 | ETputs(KTEPS) 199.38
Epoch 00195 | Time(s) 0.0528 | Loss 0.0086 | Accuracy 1.0000 | ETputs(KTEPS) 199.81
Epoch 00196 | Time(s) 0.0528 | Loss 0.0239 | Accuracy 1.0000 | ETputs(KTEPS) 199.92
Epoch 00197 | Time(s) 0.0527 | Loss 0.0157 | Accuracy 1.0000 | ETputs(KTEPS) 200.31
Epoch 00198 | Time(s) 0.0527 | Loss 0.0023 | Accuracy 1.0000 | ETputs(KTEPS) 200.42
Epoch 00199 | Time(s) 0.0526 | Loss 0.0054 | Accuracy 1.0000 | ETputs(KTEPS) 200.54

Test Accuracy 1.0000
