C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\fromnumeric.py:3257: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\_methods.py:161: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Epoch 00123 | Time(s) 0.0680 | Loss 0.0411 | Accuracy 1.0000 | ETputs(KTEPS) 135.79
Epoch 00124 | Time(s) 0.0681 | Loss 0.0388 | Accuracy 1.0000 | ETputs(KTEPS) 135.45
Epoch 00125 | Time(s) 0.0685 | Loss 0.0376 | Accuracy 1.0000 | ETputs(KTEPS) 134.78
Epoch 00126 | Time(s) 0.0687 | Loss 0.0319 | Accuracy 1.0000 | ETputs(KTEPS) 134.38
Epoch 00127 | Time(s) 0.0690 | Loss 0.0373 | Accuracy 1.0000 | ETputs(KTEPS) 133.75
Epoch 00128 | Time(s) 0.0693 | Loss 0.0246 | Accuracy 1.0000 | ETputs(KTEPS) 133.13
Epoch 00129 | Time(s) 0.0694 | Loss 0.0349 | Accuracy 1.0000 | ETputs(KTEPS) 133.00
Epoch 00130 | Time(s) 0.0695 | Loss 0.0827 | Accuracy 1.0000 | ETputs(KTEPS) 132.87
Epoch 00131 | Time(s) 0.0695 | Loss 0.1060 | Accuracy 1.0000 | ETputs(KTEPS) 132.74
Epoch 00132 | Time(s) 0.0696 | Loss 0.0272 | Accuracy 1.0000 | ETputs(KTEPS) 132.61
Epoch 00133 | Time(s) 0.0697 | Loss 0.0474 | Accuracy 1.0000 | ETputs(KTEPS) 132.43
Epoch 00134 | Time(s) 0.0697 | Loss 0.0394 | Accuracy 1.0000 | ETputs(KTEPS) 132.33
Epoch 00135 | Time(s) 0.0697 | Loss 0.0480 | Accuracy 1.0000 | ETputs(KTEPS) 132.43
Epoch 00136 | Time(s) 0.0696 | Loss 0.0105 | Accuracy 1.0000 | ETputs(KTEPS) 132.50
Epoch 00137 | Time(s) 0.0696 | Loss 0.0171 | Accuracy 1.0000 | ETputs(KTEPS) 132.57
Epoch 00138 | Time(s) 0.0696 | Loss 0.0303 | Accuracy 1.0000 | ETputs(KTEPS) 132.67
Epoch 00139 | Time(s) 0.0696 | Loss 0.0164 | Accuracy 1.0000 | ETputs(KTEPS) 132.52
Epoch 00140 | Time(s) 0.0696 | Loss 0.0168 | Accuracy 1.0000 | ETputs(KTEPS) 132.62
Epoch 00141 | Time(s) 0.0695 | Loss 0.0514 | Accuracy 1.0000 | ETputs(KTEPS) 132.72
Epoch 00142 | Time(s) 0.0695 | Loss 0.0114 | Accuracy 1.0000 | ETputs(KTEPS) 132.81
Epoch 00143 | Time(s) 0.0694 | Loss 0.0551 | Accuracy 1.0000 | ETputs(KTEPS) 132.91
Epoch 00144 | Time(s) 0.0695 | Loss 0.0204 | Accuracy 1.0000 | ETputs(KTEPS) 132.79
Epoch 00145 | Time(s) 0.0694 | Loss 0.0116 | Accuracy 1.0000 | ETputs(KTEPS) 132.89
Epoch 00146 | Time(s) 0.0694 | Loss 0.0302 | Accuracy 1.0000 | ETputs(KTEPS) 132.98
Epoch 00147 | Time(s) 0.0695 | Loss 0.0119 | Accuracy 1.0000 | ETputs(KTEPS) 132.86
Epoch 00148 | Time(s) 0.0694 | Loss 0.0119 | Accuracy 1.0000 | ETputs(KTEPS) 132.95
Epoch 00149 | Time(s) 0.0694 | Loss 0.0047 | Accuracy 1.0000 | ETputs(KTEPS) 133.01
Epoch 00150 | Time(s) 0.0694 | Loss 0.0079 | Accuracy 1.0000 | ETputs(KTEPS) 132.90
Epoch 00151 | Time(s) 0.0694 | Loss 0.0753 | Accuracy 1.0000 | ETputs(KTEPS) 132.99
Epoch 00152 | Time(s) 0.0693 | Loss 0.0042 | Accuracy 1.0000 | ETputs(KTEPS) 133.08
Epoch 00153 | Time(s) 0.0694 | Loss 0.0473 | Accuracy 1.0000 | ETputs(KTEPS) 132.97
Epoch 00154 | Time(s) 0.0694 | Loss 0.0174 | Accuracy 1.0000 | ETputs(KTEPS) 133.06
Epoch 00155 | Time(s) 0.0693 | Loss 0.0032 | Accuracy 1.0000 | ETputs(KTEPS) 133.10
Epoch 00156 | Time(s) 0.0694 | Loss 0.0171 | Accuracy 1.0000 | ETputs(KTEPS) 132.99
Epoch 00157 | Time(s) 0.0693 | Loss 0.0143 | Accuracy 1.0000 | ETputs(KTEPS) 133.07
Epoch 00158 | Time(s) 0.0693 | Loss 0.0051 | Accuracy 1.0000 | ETputs(KTEPS) 133.16
Epoch 00159 | Time(s) 0.0694 | Loss 0.0120 | Accuracy 1.0000 | ETputs(KTEPS) 133.05
Epoch 00160 | Time(s) 0.0694 | Loss 0.0064 | Accuracy 1.0000 | ETputs(KTEPS) 132.91
Epoch 00161 | Time(s) 0.0694 | Loss 0.0705 | Accuracy 1.0000 | ETputs(KTEPS) 133.00
Epoch 00162 | Time(s) 0.0694 | Loss 0.0724 | Accuracy 1.0000 | ETputs(KTEPS) 133.05
Epoch 00163 | Time(s) 0.0693 | Loss 0.0044 | Accuracy 1.0000 | ETputs(KTEPS) 133.14
Epoch 00164 | Time(s) 0.0693 | Loss 0.0042 | Accuracy 1.0000 | ETputs(KTEPS) 133.22
Epoch 00165 | Time(s) 0.0692 | Loss 0.0125 | Accuracy 1.0000 | ETputs(KTEPS) 133.30
Epoch 00166 | Time(s) 0.0693 | Loss 0.0463 | Accuracy 1.0000 | ETputs(KTEPS) 133.19
